Código,Umidade,Cinzas,Lipídios ,Proteínas,Mg 24 (ug/g),Fe 57 (ug/g),Ag 107 (ng/g),Al 27 (ug/g),Ba 138 (ug/g),Co 59 (ng/g),Cu 63 (ug/g),Zn 66 (ug/g),Se 82 (ng/g),Ti 205 (ng/g),Li 7 (ng/g),Rb 85 (ug/g),Sr 88 (ug/g),Cs 133 (ng/g),Mn 55 (ng/g),Ni 60 (ng/g),U 238 (ng/g),Sb 121 (ng/g),Sn 118 (ng/g),Te 130 (ng/g),Hg 202 (ng/g),As 75 (ng/g),Cd 111 (ng/g),Pb 208 (ng/g)
006C,76.57,4.41,18.55,92.85,79.6,2.72,0.56,0.01,0.01,3.6,0.58,18.47,500.69,5.24,5.3,79.09,0.01,221.13,210.25,0.01,0.14,1.77,9.89,0.65,3435.75,63.42,3.87,0.01
029C,71.17,4.56,17.68,86.08,615.04,46.64,0.44,726.79,34.31,6.95,2.09,24.22,737.03,1.74,2.73,87.23,274.5,1622.04,217.62,77.49,0.2,6.13,21.54,0.01,0.01,5.5,33.63,182.05
038C,72.26,3.7,22.44,85.21,297.82,23.71,0.01,0.01,0.01,4.84,1.82,48.86,437.4,2.32,10.06,101.83,241.04,473.04,47.92,0.01,0.01,0.0,6.91,0.02,6.18,8.7,9.41,0.01
041C,73.06,4.51,24.58,90.53,313.0,21.01,0.01,12056.64,0.01,4.49,3.52,25.64,339.99,1.95,3.53,39.43,46.55,639.45,97.52,32.5,0.18,3.13,23.2,0.1,3.31,6.54,0.9,0.01
043C,75.58,4.52,20.24,87.68,194.56,25.26,0.01,0.01,0.01,12.52,3.33,58.91,552.87,2.15,38.13,68.99,59.23,430.14,132.09,6.71,0.01,0.46,6.13,0.01,0.01,6.5,2.69,0.01
044C,76.52,4.75,5.22,87.16,837.22,53.36,0.01,0.01,147.06,8.15,2.4,84.28,850.46,1.24,9.95,82.1,317.03,1320.23,165.03,38.23,0.02,0.17,13.19,0.08,5.32,10.1,4.15,22.84
047C,73.73,4.51,32.34,82.85,609.8,71.34,0.03,0.01,160.85,18.38,7.07,62.37,976.12,7.13,1.56,55.54,142.91,177.42,319.35,4.47,0.1,0.77,32.46,0.04,696.64,10.61,7.47,24.95
049C,71.61,4.75,20.23,80.96,94.07,8.06,0.01,0.01,0.01,15.91,3.43,15.52,685.34,7.13,11.01,64.27,30.61,786.37,108.99,0.01,0.03,0.01,42.27,0.68,56.32,13.74,7.97,0.01
050C,69.58,5.01,18.7,83.72,69.23,11.82,0.01,0.01,0.01,4.31,3.43,15.89,806.16,1.62,16.14,60.41,0.01,754.55,106.62,0.01,0.01,0.01,20.54,0.34,66.41,9.57,13.11,0.01
053C,73.36,3.54,28.58,51.27,67.58,2.65,0.01,0.01,0.01,7.96,1.24,32.92,1262.95,8.22,10.9,10.13,0.01,391.48,15.6,10.18,0.07,3.39,16.72,2.24,11189.22,43.81,3.86,0.01
