cod_fonte,taxon,nom_pt,nom_art,obs,classificação,n_amostra,idade,un_idade,local_coleta,pais_coleta,parte,peso (seco/úmido),ag ,disp_sd_ag,al ,disp_se_al,cd ,disp_se_cd,disp_sd_cd,disp_sem_cd,co ,disp_se_co,disp_sd_co,cr,disp_sd_cr,cu,disp_se_cu,disp_sem_cu,disp_sd_cu,fe,disp_se_fe,disp_sem_fe,disp_sd_sd,mn,disp_sem_mn,disp_se_mn,disp_sd_mn,pb,disp_sem_pb,disp_sd_pb,se,disp_sd_se,disp_se_se,zn,disp_se_zn,disp_sem_zn,disp_sd_zn,ca ,disp_se_ca,disp_sem_ca,k ,disp_se_k,disp_sem_k,mg,disp_se_mg,disp_sem_mg,na,disp_se_na,disp_sem_na,p,disp_se_p,disp_sem_p,ba,disp_se_ba,disp_sd_ba,mo,disp_se_mo,disp_sd_mo,s,disp_se_s,ptn,disp_rmse_lip,disp_sem_ptn,disp_se_ptn,disp_sd_ptn,lip,disp_rmse_lip,disp_sem_lip,disp_se_lip,disp_sd_lip,PUFA,disp_sd_PUFA,disp_rmse_PUFA,disp_se_PUFA,dis_sem_PUFA,w3,disp_rmse_w3,disp_sem_w3,disp_sd_w3,disp_se_w3,w6,disp_rmse_w6,disp_sem_w6,disp_sd_w6,disp_se_w6,Ti,disp_sd_ti
1,Sus scrofa,javali-selvagem,boar,Houve discrdância nas buacas: um aparece com ponto e outro com virgula.,mamifero,57,2-5,ano,Provincia de Viterbo,Itália ,Carne (utilizado média),úmido,,,,,0.0000070,,0.0000049,,,,,0.0000123,0.0000082,,,,,,,,,,,,,0.0000121,0.0000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sus scrofa,javali-selvagem,boar,idem,mamifero,54,2-5,ano,Provincia de Viterbo,Itália ,Figado  (utilizado média),úmido,,,,,0.0000067,,0.0000061,,,,,0.0000125,0.0000110,,,,,,,,,,,,,0.0000322,0.0000072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sus scrofa,javali-selvagem,wild boar ,"Os dados estão apresentados em 8 colunas distintas, macho noroeste (0 e ≥ 1) e macho nordeste (0 e ≥ 1); femea noroeste (0 e ≥ 1) e femea nordeste (0 e ≥ 1). ",mamifero,44,< 1  e 1 Média,ano,"Mecklenburg-Western, Pomerânia",Alemanha,M. longissimus,úmido,,,,,,,,,,,,,,0.00017,,,0.00009,0.0019,,,0.00056,,,,,,,,0.000013,0.000005,,0.0024,,,0.0011,,,,,,,,,,,,,,,,,,,,,,,,22.5,,,,1.4,2.1,,,,2.4,0.6489,0.2016,,,,0.0777,,,0.0483,,0.5712,,,0.1743,,,
2,Capreolus capreolus ,corça-selvavem,feral roe deer,idem,mamifero,42,< 1 e 1 Média,ano,"Mecklenburg-Western, Pomerânia",Alemanha,M. longissimus,úmido,,,,,,,,,,,,,,0.00028,,,0.00011,0.00321,,,0.00057,,,,,,,,0.000004,0.000003,,0.00235,,,0.0013,,,,,,,,,,,,,,,,,,,,,,,,23.5,,,,0.9,1,,,,0.9,0.307,0.136,,,,0.11,,,0.051,,0.266,,,0.093,,,
3,Equus quagga burchellii,zebra,zebra,,mamifero,20,,,-,África do Sul,Longissimus lumborum muscle,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.29,,,,0.50,1.47,,,,0.47,0.000586,0.000150,,,,0.0000322,,,0.00000156,,0.00000539,,,0.00000122,,,
4,Cervus elaphus,veado-vermelho,red deer,Utilizado os dados de média. Houve discrdância nas buacas: um aparece com ponto e outro com virgula.,mamifero,20,,,Warmia e Mazury,Polônia,Musculo,úmido,0.0000000165,0.0000000132,,,0.00000726,,0.00000429,,0.000000561,,0.0000000231,0.00001716,0.00001122,0.000363,,,0.000132,,,,,0.0000759,,,0.0000297,0.00000594,,0.00001122,0.00000462,0.0264,,0.00495,,,0.001815,,,,,,,,,,,,,,,,0.00000528,,0.00000495,0.00000561,,0.00000198,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000858,0.000001155
4,Cervus elaphus,veado-vermelho,red deer,idem,mamifero,20,,,Warmia e Mazury,Polônia,Figado,úmido,0.000002904,0.000002937,,,0.00001287,,0.00001287,,0.00000594,,0.000001782,0.00001815,0.00001947,0.001947,,,0.001353,,,,,0.000396,,,0.0001287,0.00000561,,0.00000363,0.0000066,0.033,,0.0033,,,0.000693,,,,,,,,,,,,,,,,0.00000396,,0.000002541,0.0001023,,0.0000264,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000001551,0.000001584
4,Cervus elaphus,veado-vermelho,red deer,idem,mamifero,20,,,Warmia e Mazury,Polônia,Rim,úmido,0.0000000198,0.0000000264,,,0.00264,,0.00264,,0.000002937,,0.000002805,0.0000462,0.0000462,0.000693,,,0.000132,,,,,0.0002178,,,0.0000495,0.0000099,,0.00000858,0.000132,0.198,,0.00429,,,0.000627,,,,,,,,,,,,,,,,0.00001452,,0.00000594,0.0000495,0.0000165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00000924,0.00000957
5,Cervus elaphus nannodes,alces-de-tule,tule elk,,mamifero,154,,,"Owens Valley, Califórnia",EUA,Figado,úmido,,,,,,,,,,,,,,0.000867,0.000135,,,0.015131,0.002147,,,0.000214,,0.000021,,,,,,,,0.002040,0.000177,,,0.004968,0.000219,,0.000000082,,,0.015988,0.000344,,,,,0.00378831,0.09727,,,,,0.000113,0.000004,,0.000218,0.006162,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Cervus elaphus nannodes,alces-de-tule,tule elk,,mamifero,86,,,Grizzly Island,EUA,Figado,úmido,,,,,,,,,,,,,,0.004799,0.000180,,,0.013225,0.002940,,,0.000211,,0.000029,,,,,,,,0.001924,0.000242,,,0.003905,0.000301,,0.000000014,,,0.016113,0.000472,,,,,0.00357125,0.13319,,,,,0.000082,0.000005,,0.000204,0.008438,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Scolopax rusticola ,galinhola-da-Eurásia,eurasian woodcock,,ave,10,,,Matese,Italia,Musculo - Carne de peito ,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,,,,0.42,2.75,,,,0.07,6.45,,,,,0.00019684,,,0.00001514,,1.57,,,0.00011053,,,
6,Scolopax rusticola ,galinhola-da-Eurásia,eurasian woodcock,,ave,10,,,Matese,Italia,Perna inteira,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.05,,,,1.2,2.60,,,,0.07,3.98,,,,,0.00017492,,,0.00000795,,1.04,,,0.00007394,,,
7,Cervus elaphus,veado-vermelho,red deer,,mamifero,30,3.5,ano,Nordeste da Polônia,Polônia,Coxa - Musculus semimembranosus,úmido,,,,,0.00000008,,,0.00000001,,,,,,,,,,0.0038,,0.0000981,,,,,,0.000003,0.00000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.54,,0.207,,,0.16,,0.010,,,,,,,,,,,,,,,,,,,
7,Capreolus capreolus ,corça-selvavem,roe deer,,mamifero,30,3.5,ano,Nordeste da Polônia,Polônia,Coxa - Musculus semimembranosus,úmido,,,,,0.00000003,,,0.00000001,,,,,,,,,,0.003531,,0.0000980,,,,,,0.000004,0.00000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.92,,0.207,,,0.10,,0.010,,,,,,,,,,,,,,,,,,,
8,Phacochoerus africanus,javali,warthog,,mamifero,16,> 1,ano,KwaZulu Natal,Africa do Sul,M. Longissimus lombar,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.25,,,0.61,,1.18,,,0.09,,0.000538,,,0.000051,,0.000128,,,,0.0000138,0.000412,,,,0.0000435,,
8,Phacochoerus africanus,javali,warthog,,mamifero,15,< 1,ano,KwaZulu Natal,Africa do Sul,M. Longissimus lombar,úmido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.64,,,0.62,,1.12,,,0.08,,0.000482,,,0.000048,,0.000131 ,,,,0.0000095,0.000338,,,,0.0000374,,
9,Cervus elaphus,veado-vermelho,red deer,criado,mamifero,10,,,Não informado,Nova Zelândia,Longissimus thoracis et lumborum,úmido,,,,,,,,,,,,,,0.000204,0.000082,,,0.003410,,0.000106,,0.000017,0.0000005,,,,,,,,,0.002010,,0.00328,,0.0038,,0.00011,0.365,,0.0085,0.037,,0.0017,0.120,,0.0043,0.229,,0.004,,,,,,,,,22.7,,0.20,,,0.75,,0.087,,,0.20775,,,,0.0017835,0.14868,,0.006726,,,0.17818,,0.02301,,,,
9,Cervus elaphus,veado-vermelho,red deer ,caçado,mamifero,14,,,Não informado,Espanha,Longissimus thoracis et lumborum,úmido,,,,,,,,,,,,,,0.000145,0.000082,,,0.002950,,0.000107,,0.000014,0.0000005,,,,,,,,,0.003920,,0.00328,,0.0038,,0.00011,0.297,,0.0085,0.022,,0.0017,0.125,,0.0043,0.214,,0.004,,,,,,,,,24.1,,0.20,,,0.51,,0.087,,,0.17034,,,,0.02296,0.09856,,0.006384,,,0.27552,,0.02184,,,,
