taxon_tfmed,genus,classificacao,pais_coleta,fe,mn,se,zn,k,mg,na,ptn,lip,w3,w6,partes_tfmed,classificacao_cat,pais_coleta_cat,partes_tfmed_cat,taxon_tfmed_cat,genus_cat
SS,sus,mamifero,Alemanha,0.0019,,1.3e-05,0.0024,,,,22.5,2.1,0.0777,0.5712,Musculo,1,1,0,24,21
CC1,capreolus,mamifero,Alemanha,0.00321,,4e-06,0.00235,,,,23.5,1.0,0.11,0.266,Musculo,1,1,0,4,5
EQ,equus,mamifero,África do Sul,,,,,,,,22.29,1.47,3.22e-05,5.39e-06,Musculo,1,14,0,12,11
CE,cervus,mamifero,Polônia,,7.59e-05,4.62e-06,0.00495,,,,,,,,Musculo,1,13,0,7,6
CE,cervus,mamifero,Polônia,,0.000396,6.6e-06,0.0033,,,,,,,,Visceras,1,13,1,7,6
CE,cervus,mamifero,Polônia,,0.0002178,0.000132,0.00429,,,,,,,,Visceras,1,13,1,7,6
CE,cervus,mamifero,EUA,0.015131,0.000214,,0.00204,8.2e-08,0.015988,,,,,,Visceras,1,4,1,7,6
CE,cervus,mamifero,EUA,0.013225,0.000211,,0.001924,1.4e-08,0.016113,,,,,,Visceras,1,4,1,7,6
SR,scolopax,ave,Italia,,,,,,,,24.0,2.75,0.00019684,1.57,Musculo,0,7,0,23,19
SR,scolopax,ave,Italia,,,,,,,,21.05,2.6,0.00017492,1.04,Musculo,0,7,0,23,19
CE,cervus,mamifero,Polônia,0.0038,,,,,,,21.54,0.16,,,Musculo,1,13,0,7,6
CC1,capreolus,mamifero,Polônia,0.003531,,,,,,,23.92,0.1,,,Musculo,1,13,0,4,5
PA,phacochoerus,mamifero,Africa do Sul,,,,,,,,33.25,1.18,0.000128,0.000412,Musculo,1,0,0,16,17
PA,phacochoerus,mamifero,Africa do Sul,,,,,,,,31.64,1.12,0.000131,0.000338,Musculo,1,0,0,16,17
CE,cervus,mamifero,Nova Zelândia,0.00341,1.7e-05,,0.00201,0.365,0.037,0.12,22.7,0.75,0.14868,0.17818,Musculo,1,11,0,7,6
CE,cervus,mamifero,Espanha,0.00295,1.4e-05,,0.00392,0.297,0.022,0.125,24.1,0.51,0.09856,0.27552,Musculo,1,5,0,7,6
CP1,columba,ave,Espanha,0.00535,,,0.00073,,,,,,,,Musculo,0,5,0,8,8
TP2,turdus,ave,Espanha,0.00508,,,0.00061,,,,,,,,Musculo,0,5,0,27,24
ST,streptopelia,ave,Espanha,0.00419,,,0.00071,,,,,,,,Musculo,0,5,0,25,20
ST,streptopelia,ave,Espanha,0.00293,,,0.000236,,,,,,,,Musculo,0,5,0,25,20
CP1,columba,ave,Espanha,0.00258,,,0.000299,,,,,,,,Musculo,0,5,0,8,8
TP2,turdus,ave,Espanha,0.00235,,,0.00016,,,,,,,,Musculo,0,5,0,27,24
AA,alces,mamifero,Canadá,,,,,,,,21.84,1.74,,,Musculo,1,3,0,0,1
BC,branta,ave,Canadá,,,,,,,,24.78,3.63,,,Musculo,0,3,0,3,3
AP2,anas,ave,Canadá,,,,,,,,23.61,3.54,,,Musculo,0,3,0,2,2
SC,syncerus,mamifero,África do sul,,0.000567,2.45e-05,,,,,,,,,Visceras,1,15,1,22,22
SC,syncerus,mamifero,África do sul,,0.00056,3.43e-05,,,,,,,,,Visceras,1,15,1,22,22
SC,syncerus,mamifero,África do sul,,0.000518,3.43e-05,,,,,,,,,Visceras,1,15,1,22,22
SC,syncerus,mamifero,África do sul,,0.00049,2.66e-05,,,,,,,,,Visceras,1,15,1,22,22
